"","grp.age","grp.edu","grp.empl","kid.num","home.size","gender","race","marital.st","disability","religion","sexual.orient","poli.affil","SW.program","urbanity","spirituality","sc.idx.1","sc.idx.2","gr.idx.1","gr.idx.2"
"74","[1,23]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Democrat","BSW","Suburban","high",0.137408884451543,-0.653314490643451,-1.96736919984231,0.521409321221663
"75","[24,30]","Adv.deg","junior","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",3.13878614111303,0.0176000586576241,-0.0821909323976144,-0.598442655559161
"76","[30,99]","Bachelor","senior","No-kid","3+","female","white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Independent","MSW","Urban","high",-0.72611250486114,-0.908070880685944,-3.48683911208859,-0.289265534823451
"77","[1,23]","Assoc","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","BSW","Rural","high",-1.54896071618935,-0.723953028607446,1.70932863317765,0.429302752493465
"78","[30,99]","Adv.deg","junior","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",2.64494768606737,-1.21163519958042,0.310708141288333,-0.825385329731182
"79","[24,30]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Rural","high",-1.87530810367154,-0.413939020155538,0.687522326766956,-1.2859332423422
"80","[24,30]","Bachelor","senior","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","BSW","Suburban","high",-1.45184809516043,-0.988492984073397,1.70932863317765,0.429302752493465
"81","[24,30]","Assoc","entry","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Independent","BSW","Suburban","low",2.96289564713746,1.09530757213845,-0.309938601993776,0.230988819245438
"82","[1,23]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Republican","MSW","Suburban","high",-2.23979394368694,-1.9407726497894,1.45387705657497,0.000493753784548912
"83","[1,23]","Assoc","entry","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Independent","BSW","Rural","low",-1.01729883356736,-1.03948060405821,0.982969345688388,0.118965110396451
"84","[30,99]","Assoc","junior","With-kid","3+","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Republican","BSW","Rural","high",-0.0456925567508805,2.14416761164483,1.70932863317765,0.429302752493465
"85","[30,99]","Assoc","junior","With-kid","1-2","female","white","single-or-once-married","Yes","traditional-religion","heterosexual or bisexual","Democrat","BSW","Urban","low",-2.19505389267428,-0.546786712758539,-2.48558483043278,-1.29043123848831
"86","[30,99]","Assoc","senior","With-kid","1-2","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Independent","BSW","Rural","high",-2.61014321692051,0.797344092712779,1.70932863317765,0.429302752493465
"87","[1,23]","Assoc","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","BSW","Rural","high",-0.464807304080911,-0.242975483354286,0.702184544555497,-0.288041055018509
"88","[24,30]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","non-specific sexual orientation","Democrat","BSW","Urban","high",-0.0621385771885926,1.05927630082404,0.662189102236737,-1.26413040904824
"89","[30,99]","Assoc","senior","With-kid","3+","female","non-white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Suburban","high",1.44491483808974,1.27244303504176,1.07706287109635,0.461041666395568
"90","[1,23]","Bachelor","entry","No-kid","3+","female","non-white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",-1.00474247305733,-2.41402706870181,1.70932863317765,0.429302752493465
"91","[1,23]","Bachelor","junior","No-kid","3+","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Democrat","BSW","Urban","low",-0.970191975432058,-1.40560766640709,-0.322980291211746,-0.029359466944386
"92","[24,30]","Bachelor","senior","No-kid","1-2","other","white","single-or-once-married","No","non-religion","homosexual","Democrat","MSW","Rural","high",-0.219762979978114,1.00936635758904,1.17309225544208,-0.406512411630411
"93","[30,99]","Bachelor","senior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Suburban","high",-5.42023220790886,1.65049719207865,-0.309938601993776,0.230988819245438
"94","[24,30]","Assoc","senior","No-kid","1-2","male","white","single-or-once-married","No","non-religion","homosexual","Democrat","BSW","Suburban","low",3.81531485300136,0.360533557449342,-1.10162655633201,-1.03363534358736
"95","[30,99]","Adv.deg","senior","With-kid","3+","male","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Republican","BSW","Rural","high",-3.44684478373125,-2.36676086810982,1.06097798288903,0.227436427956569
"96","[24,30]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",2.71219375638853,1.81697520215369,-0.869411750188294,0.619729641669573
"97","[1,23]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Rural","high",1.93865188371322,-1.33944331780199,-1.35901399187245,-0.252813708271176
"98","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Independent","BSW","Suburban","high",-2.83772222650716,-0.839802017487839,1.70932863317765,0.429302752493465
"99","[24,30]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","high",1.24877550461013,-1.58629749240438,1.45387705657497,0.000493753784548912
"100","[1,23]","Assoc","junior","No-kid","1-2","female","white","married-or-partner","Yes","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",0.134092267426774,3.27655073313623,1.3164295594917,0.656245426665486
"101","[30,99]","Assoc","senior","No-kid","3+","male","white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Urban","high",0.0154047949710336,-1.07818763833648,0.079167118797095,-0.511710212849361
"102","[1,23]","Assoc","entry","With-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Independent","BSW","Suburban","low",0.966689159318513,0.676850404707985,-0.741734903427719,-3.29916123612304
"103","[1,23]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Republican","BSW","Rural","low",0.279057351564257,-0.987470032627917,0.309285470869549,-0.0610983808464884
"104","[1,23]","Assoc","entry","No-kid","3+","female","non-white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Independent","BSW","Suburban","high",-2.44223893107814,1.17888411966182,0.957636121158169,0.140767943690408
